capacity,is_installed,is_renting,is_returning,is_virtual_station,last_reported,station_name,num_bikes_available,num_docks_available,region_id,rental_uris,short_name,station_id,vehicle_types_available
4.0,True,True,True,True,1770756680,Hagenstraße/Richard-Strauss-Straße,3,1,362,"{'android': 'https://app.nextbike.net/station?id=138040070', 'ios': 'https://app.nextbike.net/station?id=138040070', 'web': 'https://nxtb.it/p/138040070'}",10699,138040070,"[{'count': 3, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Herrstraße/Flatowallee,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138040610', 'ios': 'https://app.nextbike.net/station?id=138040610', 'web': 'https://nxtb.it/p/138040610'}",10701,138040610,[]
4.0,True,True,True,True,1770756680,Olympiastadion (Süd),0,4,362,"{'android': 'https://app.nextbike.net/station?id=138041700', 'ios': 'https://app.nextbike.net/station?id=138041700', 'web': 'https://nxtb.it/p/138041700'}",10702,138041700,[]
4.0,True,True,True,True,1770756680,Olympiastadion (Ost),1,3,362,"{'android': 'https://app.nextbike.net/station?id=138042252', 'ios': 'https://app.nextbike.net/station?id=138042252', 'web': 'https://nxtb.it/p/138042252'}",10703,138042252,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Herrstraße/Schirwindter Allee,2,2,362,"{'android': 'https://app.nextbike.net/station?id=138042717', 'ios': 'https://app.nextbike.net/station?id=138042717', 'web': 'https://nxtb.it/p/138042717'}",10705,138042717,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,S Pichelsberg (Ost),0,4,362,"{'android': 'https://app.nextbike.net/station?id=138042796', 'ios': 'https://app.nextbike.net/station?id=138042796', 'web': 'https://nxtb.it/p/138042796'}",10706,138042796,[]
4.0,True,True,True,True,1770756680,EDEKA Urbschat (U Siemensdamm),1,3,362,"{'android': 'https://app.nextbike.net/station?id=138051158', 'ios': 'https://app.nextbike.net/station?id=138051158', 'web': 'https://nxtb.it/p/138051158'}",10725,138051158,"[{'count': 1, 'vehicle_type_id': '196'}]"
7.0,True,True,True,True,1770756680,U Naturkundemuseum (Schlegelstraße/Chausseestraße),5,2,362,"{'android': 'https://app.nextbike.net/station?id=138054686', 'ios': 'https://app.nextbike.net/station?id=138054686', 'web': 'https://nxtb.it/p/138054686'}",10723,138054686,"[{'count': 5, 'vehicle_type_id': '196'}]"
10.0,True,True,True,False,1770756680,U Rosa-Luxemburg-Platz/Süd (Mobilitätsstation),2,8,362,"{'android': 'https://app.nextbike.net/station?id=138056221', 'ios': 'https://app.nextbike.net/station?id=138056221', 'web': 'https://nxtb.it/p/138056221'}",10741,138056221,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Reinhardtstraße/Südpanke,6,0,362,"{'android': 'https://app.nextbike.net/station?id=138057008', 'ios': 'https://app.nextbike.net/station?id=138057008', 'web': 'https://nxtb.it/p/138057008'}",10746,138057008,"[{'count': 2, 'vehicle_type_id': '150'}, {'count': 4, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Schiffbauerdamm/Albrechtstraße,2,2,362,"{'android': 'https://app.nextbike.net/station?id=138057296', 'ios': 'https://app.nextbike.net/station?id=138057296', 'web': 'https://nxtb.it/p/138057296'}",10748,138057296,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Habersaathstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138059519', 'ios': 'https://app.nextbike.net/station?id=138059519', 'web': 'https://nxtb.it/p/138059519'}",10758,138059519,[]
4.0,True,True,True,False,1770756680,Gartenplatz/Ackerstraße (Mobilitätsstation),2,2,362,"{'android': 'https://app.nextbike.net/station?id=138062035', 'ios': 'https://app.nextbike.net/station?id=138062035', 'web': 'https://nxtb.it/p/138062035'}",10769,138062035,"[{'count': 1, 'vehicle_type_id': '150'}, {'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,False,1770756680,Ackerstraße/Feldstraße (Mobilitätsstation),3,1,362,"{'android': 'https://app.nextbike.net/station?id=138062642', 'ios': 'https://app.nextbike.net/station?id=138062642', 'web': 'https://nxtb.it/p/138062642'}",10772,138062642,"[{'count': 1, 'vehicle_type_id': '150'}, {'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Bugenhagenstraße/Bremer Straße,2,2,362,"{'android': 'https://app.nextbike.net/station?id=138065181', 'ios': 'https://app.nextbike.net/station?id=138065181', 'web': 'https://nxtb.it/p/138065181'}",10781,138065181,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Wegenerstraße/Sigmaringer Straße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=138069084', 'ios': 'https://app.nextbike.net/station?id=138069084', 'web': 'https://nxtb.it/p/138069084'}",10802,138069084,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Pfalzburger Straße (Büro Happold),2,2,362,"{'android': 'https://app.nextbike.net/station?id=138071476', 'ios': 'https://app.nextbike.net/station?id=138071476', 'web': 'https://nxtb.it/p/138071476'}",10809,138071476,"[{'count': 1, 'vehicle_type_id': '196'}, {'count': 1, 'vehicle_type_id': '150'}]"
4.0,True,True,True,True,1770756680,Damaschkestraße/Hektorstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138072796', 'ios': 'https://app.nextbike.net/station?id=138072796', 'web': 'https://nxtb.it/p/138072796'}",10817,138072796,[]
4.0,True,True,True,True,1770756680,S Charlottenburg (Südwest),8,0,362,"{'android': 'https://app.nextbike.net/station?id=138072978', 'ios': 'https://app.nextbike.net/station?id=138072978', 'web': 'https://nxtb.it/p/138072978'}",10819,138072978,"[{'count': 8, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Meyerinckplatz (Süd),5,0,362,"{'android': 'https://app.nextbike.net/station?id=138073260', 'ios': 'https://app.nextbike.net/station?id=138073260', 'web': 'https://nxtb.it/p/138073260'}",10821,138073260,"[{'count': 5, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Braunschweiger Straße/Schudomastraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138079884', 'ios': 'https://app.nextbike.net/station?id=138079884', 'web': 'https://nxtb.it/p/138079884'}",10837,138079884,[]
4.0,True,True,True,True,1770756680,Silbersteinstraße/Walterstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138081515', 'ios': 'https://app.nextbike.net/station?id=138081515', 'web': 'https://nxtb.it/p/138081515'}",10845,138081515,[]
4.0,True,True,True,True,1770756680,Tempelhofer Weg/Karl-Elsasser-Straße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138082090', 'ios': 'https://app.nextbike.net/station?id=138082090', 'web': 'https://nxtb.it/p/138082090'}",10847,138082090,[]
4.0,True,True,True,True,1770756680,U Pankstraße (Bastianstraße),0,4,362,"{'android': 'https://app.nextbike.net/station?id=138178125', 'ios': 'https://app.nextbike.net/station?id=138178125', 'web': 'https://nxtb.it/p/138178125'}",10866,138178125,[]
4.0,True,False,False,False,1770756680,Badstraße/Grüntaler Straße (Mobilitätsstation),0,4,362,"{'android': 'https://app.nextbike.net/station?id=138178328', 'ios': 'https://app.nextbike.net/station?id=138178328', 'web': 'https://nxtb.it/p/138178328'}",10867,138178328,[]
4.0,True,True,True,True,1770756680,Martin-Opitz-Straße/Gottschedstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138180149', 'ios': 'https://app.nextbike.net/station?id=138180149', 'web': 'https://nxtb.it/p/138180149'}",10872,138180149,[]
4.0,True,True,True,True,1770756680,Iranische Straße/Heinz-Galinski-Straße (Jüdisches Krankenhaus Berlin),2,2,362,"{'android': 'https://app.nextbike.net/station?id=138180410', 'ios': 'https://app.nextbike.net/station?id=138180410', 'web': 'https://nxtb.it/p/138180410'}",10873,138180410,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Iranische Straße/Reinickendorfer Straße (Evangelisches Geriatriezentrum Berlin),3,1,362,"{'android': 'https://app.nextbike.net/station?id=138180702', 'ios': 'https://app.nextbike.net/station?id=138180702', 'web': 'https://nxtb.it/p/138180702'}",10874,138180702,"[{'count': 3, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Barfusstraße/Bristolstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138181452', 'ios': 'https://app.nextbike.net/station?id=138181452', 'web': 'https://nxtb.it/p/138181452'}",10877,138181452,[]
4.0,True,True,True,True,1770756680,Humannplatz (Wichertstraße),0,4,362,"{'android': 'https://app.nextbike.net/station?id=138182190', 'ios': 'https://app.nextbike.net/station?id=138182190', 'web': 'https://nxtb.it/p/138182190'}",10880,138182190,[]
